date,amount,description,category
01/15/2026,-2450.00,WIRE TRANSFER - OFFICE LEASE JAN,
01/15/2026,-189.99,AMAZON.COM - MONITOR STAND + CABLES,
01/16/2026,-34.50,SHELL OIL STATION #4422,
01/17/2026,-12.99,NETFLIX MONTHLY,
01/18/2026,-847.00,DELTA AIRLINES - AUS TO SFO,
01/18/2026,-156.00,HILTON GARDEN INN SAN FRANCISCO,
01/19/2026,-62.40,UBER TRIP - SFO TO DOWNTOWN,
01/19/2026,-48.75,BLUE BOTTLE COFFEE - CLIENT MTG,
01/20/2026,4250.00,ACH DEPOSIT - RIVERSIDE SPORTS INV-1042,
01/21/2026,-1200.00,GUSTO PAYROLL - BI-WEEKLY,
01/22/2026,-79.99,ADOBE CREATIVE CLOUD ANNUAL,
01/22/2026,-149.00,ANTHROPIC API - CLAUDE USAGE,
01/23/2026,-42.00,H-E-B GROCERY #0312,
01/23/2026,-15.00,SPOTIFY PREMIUM FAMILY,
01/24/2026,-350.00,STATE FARM AUTO INSURANCE,
01/25/2026,-89.95,HOSTINGER - ANNUAL HOSTING,
01/25/2026,-18.17,GODADDY - DOMAIN RENEWAL,
01/26/2026,-28.50,JIFFY LUBE OIL CHANGE,
01/27/2026,-175.00,ATT WIRELESS - 3 LINES,
01/28/2026,-64.00,USPS PRIORITY MAIL - 3 PKGS,
01/29/2026,1800.00,ZELLE FROM MIKE CHEN - CONSULTING,
01/29/2026,-22.50,WHATABURGER #187,
01/30/2026,-45.00,COSTCO MEMBERSHIP RENEWAL,
01/30/2026,-2100.00,CLOUDFLARE PRO + WORKERS,
01/31/2026,-15.00,CHASE BANK - MONTHLY FEE,
02/01/2026,-425.00,QUICKBOOKS ONLINE - ANNUAL,
02/02/2026,-67.80,CVS PHARMACY - PRESCRIPTION,
02/03/2026,-550.00,FEDEX GROUND - PARTS SHIPMENT,
02/03/2026,-38.00,STARBUCKS - TEAM MEETING,
02/04/2026,6500.00,ACH DEPOSIT - JPODS CONSULTING FEB,
02/05/2026,-1200.00,GUSTO PAYROLL - BI-WEEKLY,
02/06/2026,-295.00,HOME DEPOT - PROTOTYPE MATERIALS,
02/07/2026,-125.00,SPECTRUM INTERNET BUSINESS,
02/08/2026,-8.99,APPLE ICLOUD STORAGE,
02/09/2026,-750.00,FACEBOOK ADS - WEBCLERK CAMPAIGN,
02/10/2026,-32.00,AUSTIN ENERGY - OFFICE ELECTRIC,
