ID,Task,Owner,Priority,Status,Duration Estimate,Dependencies,Category,Notes
MOA-001,Convert MOU to operational lease agreement,Bill,P1,open,2-4 weeks,None - start now,Venue,"Contact lease.inquiry@moa.net / 952.883.8699. Reference Cirque du Soleil BAZZAR 2024."
MOA-002,Search CityView portal for MOA prior permits,Bill,P1,open,1 hour,None,Permitting,"Search permits.bloomingtonmn.gov by MOA property address for 2023-2025 permits."
MOA-003,Submit JustFOIA request for MOA permits 2023-2025,Bill,P2,open,1-3 weeks response,After MOA-002,Permitting,"Formal request at bloomingtonmn.justfoia.com if CityView insufficient."
MOA-004,Submit TEO account request to MN DLI,Bill,P1,open,1-2 weeks,None - start now,Permitting,"Email TEO form to dli.electricity@state.mn.us. Prerequisite for electrical permit."
MOA-005,Submit Bloomington Special Event License application,Bill,P1,open,2-4 weeks,"MOA-001 (auth letter), MOA-006 (insurance proof)",Permitting,"Site map, neighborhood notification within 500 ft, traffic/parking plan required."
MOA-006,Obtain insurance - $1M/$2M liability,Bill,P1,open,1-2 weeks,None,Insurance,"MN Statute 184B: $1M per occurrence / $2M aggregate. MOA may require higher."
MOA-007,Arrange ASTM F24 inspection - Mike Teske,Mike Teske,P2,open,2-4 weeks,Hardware must exist,Safety,"NAARSO/AIMS Level II or III inspector. File affidavit within 10 days."
MOA-008,Develop operator training documentation,Bill,P2,open,1-2 weeks,MOA-012 (network design),Safety,"MN 184B: documented training policy - procedures, safety, evacuation."
MOA-009,F&F capital round outreach - $240K,Bill,P1,open,4-8 weeks,None - start now,Capital,"CRITICAL PATH. Capital pages ready at readmes/capital-pages/. Everything gates on this."
MOA-010,Sign MN vendor teaming agreements,Bill,P2,open,2-4 weeks,MOA-009 (capital),Vendor,"We Win You Win template. Vendors co-invest, JPods commits 25x on success."
MOA-011,Build demo pricing tier and waiver flow,Alice,P2,open,1 week,MOA-001 (pricing depends on MOA terms),Commerce,"Seed demo pricing in trip API. Waiver/liability. Sales tax per MN Rule 8130.0900."
MOA-012,Validate demo network design,Noelle,P2,open,1 week,None - start now,Engineering,"2-3 stations, 200-500m guideway, temporary footings, 15 km/h speed limit."
MOA-013,Quality Program document,Gordy,P1,open,2-3 weeks,None,Engineering,"Fabrication, installation, inspection, and operational QA for demo system."
MOA-014,Overview drawing - demo JPod system on MOA lot,Gordy,P1,open,2-3 weeks,MOA-012 (network design),Engineering,"Site plan: stations, guideway, access points, fencing, operator station, electrical."
MOA-015,Support pole and foundation drawing,Gordy,P1,open,2-3 weeks,None,Engineering,"Freestanding broad baseplate anchored to pavement. Must meet ASCE/SEI 7-22."
MOA-016,JPod vehicle sketch,Gordy,P2,open,1-2 weeks,None,Engineering,"Dimensions, passenger capacity, safety features, guideway connection."
MOA-017,Applicable codes list and compliance matrix,Gordy,P1,open,1 week,None,Engineering,"MN Building/Fire/Electrical Codes, ASCE/SEI 7-22, ASTM F24 standards, MN 184B."
